date,site,id,tl_cm,sl_cm,sex
7-Aug-17,XL,BEST.XL.01,32,24,F
7-Aug-17,XL,BEST.XL.02,29.5,23,F
7-Aug-17,XL,BEST.XL.03,31,23.5,F
7-Aug-17,XL,BEST.XL.05,33.5,26,F
7-Aug-17,XL,BEST.XL.06,29,22.5,F
7-Aug-17,XL,BEST.XL.07,27.5,21.5,F
7-Aug-17,XL,BEST.XL.08,30.5,23.5,F
7-Aug-17,XL,BEST.XL.09,34,26.5,F
7-Aug-17,XL,BEST.XL.10,27,20.5,F
7-Aug-17,XL,BEST.XL.12,27.5,20.5,F
7-Aug-17,XL,BEST.XL.16,35,27,F
7-Aug-17,XL,BEST.XL.17,31,24,F
7-Aug-17,XL,BEST.XL.19,32,25,F
7-Aug-17,XL,BEST.XL.22,28.5,21.5,F
7-Aug-17,XL,BEST.XL.23,26.5,20,F
7-Aug-17,XL,BEST.XL.24,31,23,F
7-Aug-17,XL,BEST.XL.25,29.5,21.5,F
7-Aug-17,XL,BEST.XL.26,29.5,23,F
7-Aug-17,XL,BEST.XL.27,30,22.5,F
7-Aug-17,XL,BEST.XL.28,29,21.5,F
7-Aug-17,XL,BEST.XL.32,29.5,22.5,F
7-Aug-17,XL,BEST.XL.34,31.5,24,F
7-Aug-17,XL,BEST.XL.35,31,24.5,F
7-Aug-17,XL,BEST.XL.36,30.5,23,F
7-Aug-17,XL,BEST.XL.37,32,24,F
7-Aug-17,XL,BEST.XL.39,29.5,22,F
7-Aug-17,XL,BEST.XL.40,31,23.5,F
7-Aug-17,XL,BEST.XL.41,29.5,21.5,F
7-Aug-17,XL,BEST.XL.42,28,21,F
7-Aug-17,XL,BEST.XL.44,28,21.5,F
7-Aug-17,XL,BEST.XL.04,34.5,26.5,M
7-Aug-17,XL,BEST.XL.11,35,26.5,M
7-Aug-17,XL,BEST.XL.13,32.5,25,M
7-Aug-17,XL,BEST.XL.14,40,30.5,M
7-Aug-17,XL,BEST.XL.15,33,24.5,M
7-Aug-17,XL,BEST.XL.18,34.5,26.5,M
7-Aug-17,XL,BEST.XL.20,31.5,23.5,M
7-Aug-17,XL,BEST.XL.21,29,22,M
7-Aug-17,XL,BEST.XL.29,36,27.5,M
7-Aug-17,XL,BEST.XL.30,36.5,28,M
7-Aug-17,XL,BEST.XL.31,33.5,25,M
7-Aug-17,XL,BEST.XL.33,30,23,M
7-Aug-17,XL,BEST.XL.38,34.5,26,M
7-Aug-17,XL,BEST.XL.43,35.5,27,M
7-Aug-17,XL,BEST.XL.45,18.5,13.5,M
9-Aug-17,HS1,BEST.HS1.02,31.5,24,F
9-Aug-17,HS1,BEST.HS1.03,32,24,F
9-Aug-17,HS1,BEST.HS1.04,31,23.5,F
9-Aug-17,HS1,BEST.HS1.05,25,19,F
9-Aug-17,HS1,BEST.HS1.06,31,24,F
9-Aug-17,HS1,BEST.HS1.07,28.5,21.5,F
9-Aug-17,HS1,BEST.HS1.08,31.5,24,F
9-Aug-17,HS1,BEST.HS1.11,29,22,F
9-Aug-17,HS1,BEST.HS1.12,27,20.5,F
9-Aug-17,HS1,BEST.HS1.13,30,22.5,F
9-Aug-17,HS1,BEST.HS1.16,26,20,F
9-Aug-17,HS1,BEST.HS1.17,30,22.5,F
9-Aug-17,HS1,BEST.HS1.18,27.5,21,F
9-Aug-17,HS1,BEST.HS1.19,30.5,22.5,F
9-Aug-17,HS1,BEST.HS1.20,27,20,F
9-Aug-17,HS1,BEST.HS1.21,27,20.5,F
9-Aug-17,HS1,BEST.HS1.23,27,20.5,F
9-Aug-17,HS1,BEST.HS1.25,29.5,22.5,F
9-Aug-17,HS1,BEST.HS1.27,28.5,21.5,F
9-Aug-17,HS1,BEST.HS1.28,29,22,F
9-Aug-17,HS1,BEST.HS1.29,27,21,F
9-Aug-17,HS1,BEST.HS1.01,45,35,M
9-Aug-17,HS1,BEST.HS1.09,38.5,29.5,M
9-Aug-17,HS1,BEST.HS1.10,35.5,26.5,M
9-Aug-17,HS1,BEST.HS1.14,17,12.5,M
9-Aug-17,HS1,BEST.HS1.15,19,14,M
9-Aug-17,HS1,BEST.HS1.22,38,29,M
9-Aug-17,HS1,BEST.HS1.24,28,21,M
9-Aug-17,HS1,BEST.HS1.26,18,13.5,M
10-Aug-17,NNE,BEST.NNE.03,30.5,23,F
10-Aug-17,NNE,BEST.NNE.06,28,21,F
10-Aug-17,NNE,BEST.NNE.08,30,22.5,F
10-Aug-17,NNE,BEST.NNE.09,29.5,22,F
10-Aug-17,NNE,BEST.NNE.11,28,21.5,F
10-Aug-17,NNE,BEST.NNE.12,27,21,F
10-Aug-17,NNE,BEST.NNE.13,25.5,19,F
10-Aug-17,NNE,BEST.NNE.14,31,23.5,F
10-Aug-17,NNE,BEST.NNE.16,28,21.5,F
10-Aug-17,NNE,BEST.NNE.17,32,24,F
10-Aug-17,NNE,BEST.NNE.18,28,21,F
10-Aug-17,NNE,BEST.NNE.20,30.5,23,F
10-Aug-17,NNE,BEST.NNE.21,27,21,F
10-Aug-17,NNE,BEST.NNE.24,31,22.5,F
10-Aug-17,NNE,BEST.NNE.01,36.5,28,M
10-Aug-17,NNE,BEST.NNE.02,35.5,27,M
10-Aug-17,NNE,BEST.NNE.04,36,26.5,M
10-Aug-17,NNE,BEST.NNE.05,39.5,30,M
10-Aug-17,NNE,BEST.NNE.07,36,27.5,M
10-Aug-17,NNE,BEST.NNE.10,37.5,29,M
10-Aug-17,NNE,BEST.NNE.15,31,23.5,M
10-Aug-17,NNE,BEST.NNE.19,28,21,M
10-Aug-17,NNE,BEST.NNE.22,34,25.5,M
10-Aug-17,NNE,BEST.NNE.23,36.5,27.5,M
25-Aug-17,NNE,BEST.NNE2.03,36.5,28.5,F
25-Aug-17,NNE,BEST.NNE2.06,30,23.5,F
25-Aug-17,NNE,BEST.NNE2.07,33,25.5,F
25-Aug-17,NNE,BEST.NNE2.08,28,21,F
25-Aug-17,NNE,BEST.NNE2.09,30,23,F
25-Aug-17,NNE,BEST.NNE2.10,32.5,25,F
25-Aug-17,NNE,BEST.NNE2.11,27,20,F
25-Aug-17,NNE,BEST.NNE2.13,26,20,F
25-Aug-17,NNE,BEST.NNE2.14,31,24,F
25-Aug-17,NNE,BEST.NNE2.15,28,21.5,F
25-Aug-17,NNE,BEST.NNE2.19,31,23,F
25-Aug-17,NNE,BEST.NNE2.20,34,25.5,F
25-Aug-17,NNE,BEST.NNE2.21,29.5,22,F
25-Aug-17,NNE,BEST.NNE2.22,30.5,22.5,F
25-Aug-17,NNE,BEST.NNE2.23,28.5,21.5,F
25-Aug-17,NNE,BEST.NNE2.24,25,19,F
25-Aug-17,NNE,BEST.NNE2.25,30.5,24,F
25-Aug-17,NNE,BEST.NNE2.26,31.5,24,F
25-Aug-17,NNE,BEST.NNE2.01,41.5,32,M
25-Aug-17,NNE,BEST.NNE2.02,42,32,M
25-Aug-17,NNE,BEST.NNE2.04,37.5,29,M
25-Aug-17,NNE,BEST.NNE2.05,36,27.5,M
25-Aug-17,NNE,BEST.NNE2.12,39,30,M
25-Aug-17,NNE,BEST.NNE2.16,37.5,28.5,M
