date,site,id,tl_cm,sl_cm,sex,stage,g_mass_1,g_mass_2
5-Sep-18,XL,090518.XL.02,28.5,21.5,F,5,na,na
5-Sep-18,XL,090518.XL.03,23,17.5,F,2,na,na
5-Sep-18,XL,090518.XL.06,30,23,F,5,na,na
5-Sep-18,XL,090518.XL.07,28.5,21.5,F,4,na,na
5-Sep-18,XL,090518.XL.08,30.5,23.5,F,5,na,na
5-Sep-18,XL,090518.XL.10,27,21.5,F,5,na,na
5-Sep-18,XL,090518.XL.11,31.5,24,F,5,na,na
5-Sep-18,XL,090518.XL.12,25,18.5,F,3,na,na
5-Sep-18,XL,090518.XL.14,27.5,21,F,5,na,na
5-Sep-18,XL,090518.XL.18,25,19.5,F,4,na,na
5-Sep-18,XL,090518.XL.19,27.5,20.5,F,5,na,na
5-Sep-18,XL,090518.XL.22,30,22.5,F,3,na,na
5-Sep-18,XL,090518.XL.24,31,23.5,F,2,na,na
5-Sep-18,XL,090518.XL.25,31.5,24,F,3,na,na
5-Sep-18,XL,090518.XL.32,30,23,F,5,na,na
5-Sep-18,XL,090518.XL.33,30.5,23.5,F,3,na,na
5-Sep-18,XL,090518.XL.36,31.5,23.75,F,3,na,na
5-Sep-18,XL,090518.XL.38,30,22.5,F,3,na,na
5-Sep-18,XL,090518.XL.39,29,22,F,4,na,na
5-Sep-18,XL,090518.XL.40,24,18,F,5,na,na
5-Sep-18,XL,090518.XL.41,28,21,F,3,na,na
5-Sep-18,XL,090518.XL.42,32,24.75,F,3,na,na
5-Sep-18,XL,090518.XL.45,28,21,F,4,na,na
5-Sep-18,XL,090518.XL.46,34.5,26.5,F,3,na,na
5-Sep-18,XL,090518.XL.47,32,24,F,3,na,na
5-Sep-18,XL,090518.XL.49,29,23,F,2,na,na
5-Sep-18,XL,090518.XL.51,27,21,F,2,na,na
5-Sep-18,XL,090518.XL.52,33,24.5,F,5,na,na
5-Sep-18,XL,090518.XL.53,30.5,23,F,3,na,na
5-Sep-18,XL,090518.XL.55,32,24.5,F,3,na,na
5-Sep-18,XL,090518.XL.56,35,27,F,5,na,na
5-Sep-18,XL,090518.XL.57,29,22,F,1,na,na
5-Sep-18,XL,090518.XL.58,27,20,F,5,na,na
5-Sep-18,XL,090518.XL.60,30.5,23.5,F,5,na,na
9-Aug-17,HS1,BEST.HS1.02,31.5,24,F,4,9.454,8.063
9-Aug-17,HS1,BEST.HS1.03,32,24,F,5,16.114,17.371
9-Aug-17,HS1,BEST.HS1.04,31,23.5,F,3,7.402,7.272
9-Aug-17,HS1,BEST.HS1.05,25,19,F,5,6.595,6.439
9-Aug-17,HS1,BEST.HS1.06,31,24,F,2,3.598,3.832
9-Aug-17,HS1,BEST.HS1.07,28.5,21.5,F,3,5.547,5.421
9-Aug-17,HS1,BEST.HS1.08,31.5,24,F,3,4.585,5.981
9-Aug-17,HS1,BEST.HS1.11,29,22,F,5,13.607,12.931
9-Aug-17,HS1,BEST.HS1.12,27,20.5,F,1,1.529,1.371
9-Aug-17,HS1,BEST.HS1.13,30,22.5,F,3,11.409,9.075
9-Aug-17,HS1,BEST.HS1.16,26,20,F,3,6.188,5.449
