date,survey,site,species,transect,size,count
2017-08-07T00:00:00Z,1,XL,Almaco Jack (Bonita),t1,5,NA
2017-08-07T00:00:00Z,1,XL,Barber,t1,5,1e3
2017-08-07T00:00:00Z,1,XL,Bermuda Chromis,t1,5,300
2017-08-07T00:00:00Z,1,XL,Lionfish,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Pygmy Angelfsh,t1,5,24
2017-08-07T00:00:00Z,1,XL,Reef Butterfly,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Rock Beauty,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Soapfish,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Spotfin Hogfish,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Squirrelfish,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Stoplight Parrotfish,t1,5,NA
2017-08-07T00:00:00Z,1,XL,Sunshine Damsel,t1,5,35
2017-08-07T00:00:00Z,1,XL,Surgeonfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Barber,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Bermuda Chromis,t1,5,21
2017-08-09T00:00:00Z,1,HS1,Coney,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Goatfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Lionfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Pudding Wife,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Pygmy Angelfsh,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Redband Parrotfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Reef Butterfly,t1,5,1
2017-08-09T00:00:00Z,1,HS1,Rock Beauty,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Sharpnose Puffer,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Spanish Hogfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Spotfin Hogfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Squirrelfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Stoplight Parrotfish,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Sunshine Damsel,t1,5,NA
2017-08-09T00:00:00Z,1,HS1,Surgeonfish,t1,5,NA
2017-08-10T00:00:00Z,1,NNE,Almaco Jack (Bonita),t1,5,NA
2017-08-10T00:00:00Z,1,NNE,Barber,t1,5,525
2017-08-10T00:00:00Z,1,NNE,Bermuda Chromis,t1,5,20
