date,survey,site,species,transect,size,density,biomass,trophic_guild
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,5,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,10,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,15,2,123.419919,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,20,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,25,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t1,30,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,5,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,10,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,15,1,61.70995951,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,20,1,140.9059835,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,25,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Acanthurus_bahianus,t2,30,0,0,herbivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,5,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,10,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,15,3,262.0399992,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,20,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,25,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t1,30,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t2,5,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t2,10,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t2,15,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t2,20,0,0,invertivore
2017-08-07T00:00:00Z,1,XL,Bodianus_pulchellus,t2,25,0,0,invertivore
