date,survey,site,lf_quad,lf_removed,lf_density,efficiency,sst,bt,lunar_day,prey_density,kg_30m2,temp_diff
7-Aug-17,1,XL,39,46,1560,1.53,84,69,14,1100,30.05509283,15
9-Aug-17,1,HS1,24,29,960,0.97,84,70,-12,59,5.332821087,14
10-Aug-17,1,NNE,22,24,880,0.80,85,68,-11,1524,50.3770349,17
25-Aug-17,2,NNE,23,26,920,0.87,83,69,4,820,28.70932176,14
29-Aug-17,2,HS1,8,13,320,0.43,84,72,8,71.5,4.476481169,12
1-Sep-17,2,XL,30,44,1200,1.47,84,68,11,1358,11.88518595,16
22-Sep-17,3,XL,15,20,600,0.67,82,69,2,354.5,15.65234366,13
27-Oct-17,4,HS1,9,19,360,0.63,77,75,8,58.5,2.312463923,2
29-Oct-17,4,XL,3,28,120,0.93,76,75,10,106,4.229070169,1
10-Nov-17,5,HS1,3,5,120,0.17,77,75,-8,29,2.719767567,2
14-Nov-17,5,NNE,13,21,520,0.70,76,75,-4,318.5,5.011709728,1
16-Nov-17,5,XL,1,16,40,0.53,76,74,-2,60.5,3.211147809,2
18-Dec-17,6,XL,4,7,160,0.23,71,69,0,79,3.639446366,2
20-Dec-17,6,HS1,1,1,40,0.03,72,70,2,53,4.506711465,2
23-Jan-18,6,NNE,6,5,240,0.17,70,68,7,142.5,9.710601334,2
