survey,site,species,biomass,density,percent_bio
1,HS1,Acanthurus_bahianus,555.389636,9,0.068092136
1,HS1,Bodianus_pulchellus,98.605604,4,0.01208929
1,HS1,Bodianus_rufus,100.420271,2.5,0.012311772
1,HS1,Canthigaster_rostrata,56.958155,2,0.00698321
1,HS1,Centropyge_argi,9.953447,2,0.001220317
1,HS1,Cephalopholis_fulva,416.141742,3,0.051020001
1,HS1,Chaetodon_sedentarius,61.225215,2.333333,0.007506362
1,HS1,Chromis_bermudae,61.016057,21,0.007480719
1,HS1,Chromis_enchrysura,24.453929,2.5,0.002998112
1,HS1,Halichoeres_radiatus,587.178881,5,0.071989575
1,HS1,Holocanthus_tricolor,123.4536,4,0.015135715
1,HS1,Holocentrus_rufus,148.48905,2.5,0.018205123
1,HS1,Paranthius_furcifer,982.783898,8,0.120491723
1,HS1,Pseudupeneus_maculatus,158.935145,3.5,0.01948584
1,HS1,Pterois_volitans,3954.617633,5,0.484845849
1,HS1,Sparisoma_aurofrenatum,117.290685,2,0.014380126
1,HS1,Sparisoma_viride,699.530255,5,0.08576413
1,NNE,Bodianus_pulchellus,28.195763,2.25,0.000800055
1,NNE,Canthidermis_sufflamen,1425.045906,14,0.040435711
1,NNE,Caranx_latus,3211.44078,10,0.091124708
1,NNE,Centropyge_argi,7.465085,1.5,0.000211822
1,NNE,Chaetodon_ocellatus,61.299526,2,0.001739375
1,NNE,Chaetodon_sedentarius,38.918935,3.5,0.001104326
1,NNE,Chromis_bermudae,65.374346,22.5,0.001854999
1,NNE,Chromis_enchrysura,11126.60203,750,0.315717595
1,NNE,Elegantis_bipinnulata,33.857032,2,0.000960694
1,NNE,Halochoeres_garnoti,6.475058,2.333333,0.00018373
1,NNE,Holocanthus_tricolor,30.8634,1,0.00087575
1,NNE,Holocentrus_rufus,980.027731,16.5,0.02780831
1,NNE,Paranthius_furcifer,4742.595216,220.833333,0.134571251
1,NNE,Pterois_volitans,7053.324533,2,0.20013825
1,NNE,Seriola_rivoliana,6170.738126,5.5,0.17509484
1,NNE,Sparisoma_viride,260.038041,2.5,0.007378586
1,XL,Acanthurus_bahianus,108.678621,1.333333,0.003644778
1,XL,Bodianus_pulchellus,262.039999,3,0.008788091
1,XL,Centropyge_argi,67.185766,13.5,0.002253223
1,XL,Chaetodon_sedentarius,120.077194,4,0.004027054
1,XL,Chromis_bermudae,559.313852,192.5,0.018757827
1,XL,Chromis_enchrysura,224.80096,21.666667,0.007539197
1,XL,Holocanthus_tricolor,196.672022,2,0.006595831
1,XL,Holocentrus_rufus,306.197879,2.333333,0.010269023
1,XL,Paranthius_furcifer,2450.928156,416.25,0.082197295
1,XL,Pterois_volitans,20437.71436,10,0.685423944
1,XL,Rypticus_saponaceus,280.504033,5,0.009407323
1,XL,Seriola_rivoliana,4487.809546,4,0.150508617
1,XL,Sparisoma_viride,315.702937,2,0.010587796
2,HS1,Aulostomus_maculatus,40.067598,1,0.010883124
2,HS1,Bodianus_pulchellus,87.346666,1,0.02372502
2,HS1,Bodianus_rufus,112.201613,2,0.030476098
2,HS1,Centropyge_argi,4.976723,1,0.001351773
2,HS1,Chaetodon_ocellatus,61.299526,2,0.01665012
2,HS1,Chromis_bermudae,21.791449,7.5,0.005918973
2,HS1,Chromis_enchrysura,29.405559,4.75,0.007987111
2,HS1,Haemulon_flavolineatum,336.518971,5,0.09140497
2,HS1,Halichoeres_radiatus,166.440341,2,0.045208371
2,HS1,Holocanthus_tricolor,30.8634,1,0.008383088
2,HS1,Holocentrus_rufus,107.128843,1.333333,0.029098237
2,HS1,Paranthius_furcifer,1946.938954,25,0.528825747
2,HS1,Pseudupeneus_maculatus,150.104657,1.666667,0.040771287
2,HS1,Sparisoma_viride,586.54233,4,0.159316082
2,NNE,Bodianus_pulchellus,36.997856,1.75,0.001946825
2,NNE,Canthidermis_sufflamen,19.97619,1,0.001051146
2,NNE,Caranx_latus,5425.691527,15,0.285499499
2,NNE,Centropyge_argi,7.465085,1.5,0.000392812
2,NNE,Cephalopholis_fulva,58.976251,1,0.003103326
2,NNE,Chaetodon_sedentarius,60.038597,2,0.003159227
2,NNE,Chromis_bermudae,138.012509,47.5,0.007262208
2,NNE,Chromis_enchrysura,2527.920049,287.5,0.133018972
2,NNE,Elegantis_bipinnulata,79.166507,2.5,0.004165736
2,NNE,Gymnothorax_funebris,24.020607,1,0.001263963
2,NNE,Halochoeres_garnoti,31.361719,3,0.001650251
2,NNE,Holocentrus_rufus,751.026207,7.833333,0.039518945
2,NNE,Paranthius_furcifer,758.342709,48.333333,0.039903939
2,NNE,Pterois_volitans,7638.944193,3.5,0.401960696
2,NNE,Seriola_rivoliana,1288.415351,2,0.067796323
2,NNE,Sparisoma_viride,157.851468,1,0.008306133
2,XL,Bodianus_pulchellus,87.346666,1,0.010134789
2,XL,Centropyge_argi,29.860341,6,0.00346468
2,XL,Chaetodon_sedentarius,54.022825,1,0.006268241
2,XL,Chromis_bermudae,755.436892,260,0.087652957
2,XL,Chromis_enchrysura,625.480306,45,0.07257416
2,XL,Halichoeres_radiatus,176.153664,1.5,0.02043902
2,XL,Halochoeres_garnoti,96.717565,2,0.01122209
2,XL,Holocanthus_tricolor,98.336011,1,0.011409877
2,XL,Holocentrus_rufus,274.195124,2.5,0.03181472
2,XL,Paranthius_furcifer,1546.876081,673.333333,0.179483242
2,XL,Pterois_volitans,4614.825223,2.666667,0.535455814
2,XL,Rypticus_saponaceus,191.123594,2,0.022175973
2,XL,Sparisoma_viride,68.124382,1,0.007904437
3,XL,Aulostomus_maculatus,50.205764,1.666667,0.003985901
3,XL,Bodianus_pulchellus,26.069146,1.5,0.002069664
3,XL,Centropyge_argi,26.194013,4,0.002079577
3,XL,Chaetodon_sedentarius,180.115792,6,0.014299629
3,XL,Chromis_bermudae,290.552651,100,0.023067356
3,XL,Chromis_enchrysura,2422.950831,88,0.192361242
3,XL,Gymnothorax_funebris,24.020607,1,0.001907027
3,XL,Haemulon_flavolineatum,667.814847,4,0.053018696
3,XL,Halochoeres_garnoti,5.684197,1.666667,0.000451276
3,XL,Holocanthus_bermudensis,377.143508,2,0.029941917
3,XL,Holocanthus_tricolor,61.7268,2,0.004900572
3,XL,Holocentrus_rufus,153.633647,1.6,0.012197177
3,XL,Mycteroperca_bonaci,100.024411,1,0.007941069
3,XL,Paranthius_furcifer,242.250797,1,0.019232608
3,XL,Pseudupeneus_maculatus,90.820083,2,0.007210325
3,XL,Pterois_volitans,7424.047243,2,0.589404842
3,XL,Rypticus_saponaceus,135.022787,1,0.010719636
3,XL,Sparisoma_aurofrenatum,159.708283,2,0.01267945
3,XL,Sparisoma_viride,157.851468,1,0.012532035
4,HS1,Acanthurus_bahianus,123.419919,2,0.039992271
4,HS1,Acanthurus_chirurgus,151.2,2,0.048993967
4,HS1,Aulostomus_maculatus,21.142003,1,0.006850731
4,HS1,Bodianus_rufus,29.030543,1,0.009406888
4,HS1,Canthidermis_sufflamen,328.26108,1,0.106367807
4,HS1,Caranx_lugubris,124.336578,1,0.0402893
4,HS1,Caranx_ruber,185.237369,3,0.060023237
4,HS1,Centropyge_argi,39.813787,8,0.012901027
4,HS1,Chaetodon_sedentarius,91.546948,2.25,0.029664339
4,HS1,Chromis_bermudae,17.433159,6,0.005648939
4,HS1,Chromis_enchrysura,34.76497,5.75,0.011265038
4,HS1,Haemulon_flavolineatum,166.953712,1,0.054098708
4,HS1,Halichoeres_radiatus,293.58944,2.5,0.095133011
4,HS1,Halochoeres_garnoti,16.492793,2.2,0.005344228
4,HS1,Holocanthus_tricolor,4.256965,1,0.001379402
4,HS1,Holocentrus_rufus,237.58248,4,0.076984842
4,HS1,Paranthius_furcifer,18.988418,10.5,0.006152896
4,HS1,Scarus_coelestinus,580.901164,1,0.188231827
4,HS1,Scarus_taeniopterus,164.53125,2.25,0.053313747
4,HS1,Sphyraena_barracuda,456.611703,1,0.147957794
4,XL,Bodianus_pulchellus,124.679356,1.666667,0.025456628
4,XL,Cantherhines_macrocerus,73.983176,1,0.015105646
4,XL,Canthigaster_rostrata,3.612082,1,0.000737503
4,XL,Centropyge_argi,57.232319,11.5,0.01168551
4,XL,Chaetodon_sedentarius,90.057896,3,0.01838773
4,XL,Chromis_bermudae,110.410007,38,0.022543158
4,XL,Chromis_enchrysura,28.039817,7,0.005725079
4,XL,Coryphopterus_spp,1.552799,1,0.000317045
4,XL,Halichoeres_radiatus,88.149824,1.333333,0.017998146
4,XL,Halochoeres_garnoti,32.92493,2,0.006722506
4,XL,Holocanthus_ciliaris,86.497574,1,0.017660795
4,XL,Holocanthus_tricolor,61.7268,2,0.012603179
4,XL,Holocentrus_rufus,274.195124,2.5,0.055984274
4,XL,Malacanthus_plumieri,62.090472,1.666667,0.012677432
4,XL,Paranthius_furcifer,785.58644,12.75,0.1603985
4,XL,Pterois_volitans,2372.77058,3,0.484464628
4,XL,Seriola_rivoliana,644.207676,1,0.131532241
5,HS1,Acanthurus_bahianus,133.056952,2.5,0.027201424
5,HS1,Bodianus_pulchellus,87.346666,1,0.017856667
5,HS1,Centropyge_argi,14.93017,3,0.003052241
5,HS1,Chaetodon_sedentarius,208.971591,2,0.042720991
5,HS1,Chromis_bermudae,26.149739,9,0.005345907
5,HS1,Chromis_enchrysura,7.702536,3.5,0.001574664
5,HS1,Halichoeres_radiatus,233.095738,1.5,0.047652798
5,HS1,Halochoeres_garnoti,2.372581,2,0.000485037
5,HS1,Holocanthus_tricolor,98.336011,1,0.020103268
5,HS1,Holocentrus_rufus,101.297645,1,0.020708728
5,HS1,Malacanthus_plumieri,60.385809,2,0.012344939
5,HS1,Paranthius_furcifer,70.466098,5.5,0.014405698
5,HS1,Pterois_volitans,2043.771435,1,0.41781728
5,HS1,Scarus_taeniopterus,843.75,4,0.172491563
5,HS1,Seriola_rivoliana,644.207676,1,0.131698239
5,HS1,Sparisoma_viride,315.702937,2,0.064540555
5,NNE,Canthidermis_sufflamen,68.940029,1,0.015431011
5,NNE,Centropyge_argi,17.418532,3.5,0.003898831
5,NNE,Chromis_bermudae,813.547422,280,0.182098256
5,NNE,Chromis_enchrysura,24.453929,2.5,0.005473581
5,NNE,Halochoeres_garnoti,2.372581,2,0.00053106
5,NNE,Holocentrus_rufus,143.19967,1,0.032052723
5,NNE,Malacanthus_plumieri,37.817907,1,0.008464872
5,NNE,Paranthius_furcifer,452.924953,9.8,0.101379271
5,NNE,Pseudupeneus_maculatus,82.620668,1,0.018493181
5,NNE,Pterois_volitans,2768.232343,3.5,0.619620036
5,NNE,Rypticus_saponaceus,56.100807,1,0.012557177
5,XL,Acanthurus_bahianus,154.274899,2.5,0.028667804
5,XL,Cantherhines_macrocerus,158.706765,1,0.029491346
5,XL,Canthigaster_rostrata,3.612082,1,0.000671207
5,XL,Centropyge_argi,49.767234,10,0.00924789
5,XL,Chromis_bermudae,56.657767,19.5,0.010528309
5,XL,Chromis_enchrysura,10.813756,3,0.002009443
5,XL,Haemulon_flavolineatum,18.704382,1,0.003475702
5,XL,Halichoeres_radiatus,141.938059,1.5,0.026375337
5,XL,Halochoeres_garnoti,16.352844,1.5,0.003038732
5,XL,Holocanthus_tricolor,61.7268,2,0.011470251
5,XL,Holocentrus_rufus,182.79675,1.666667,0.033967816
5,XL,Paranthius_furcifer,20.796839,11.5,0.003864528
5,XL,Pterois_volitans,4268.107682,1,0.793112011
5,XL,Rypticus_saponaceus,56.100807,1,0.010424813
5,XL,Sparisoma_viride,181.112307,2,0.033654808
6,HS1,Acanthurus_bahianus,61.70996,1,0.014593617
6,HS1,Bodianus_pulchellus,214.316295,1,0.050683065
6,HS1,Bodianus_rufus,270.045574,2,0.063862327
6,HS1,Canthigaster_rostrata,61.890512,1,0.014636315
6,HS1,Caranx_lugubris,296.495836,1.5,0.070117476
6,HS1,Cephalopholis_fulva,117.952502,2,0.027894259
6,HS1,Chaetodon_sedentarius,120.077194,4,0.028396722
6,HS1,Chromis_bermudae,10.169343,3.5,0.00240492
6,HS1,Chromis_enchrysura,85.18097,10,0.020144211
6,HS1,Haemulon_flavolineatum,100.955691,1.5,0.023874731
6,HS1,Halichoeres_radiatus,140.162245,1,0.03314658
6,HS1,Halochoeres_garnoti,6.475058,2.333333,0.001531268
6,HS1,Holocanthus_tricolor,64.599706,1,0.015277005
6,HS1,Holocentrus_rufus,114.340116,1.75,0.027039976
6,HS1,Lactophrys_trigonus,75.215848,1,0.017787587
6,HS1,Paranthius_furcifer,1130.473654,10.666667,0.267342572
6,HS1,Seriola_rivoliana,1288.415351,2,0.304693765
6,HS1,Serranus_tigrinus,1.958072,1,0.000463059
6,HS1,Sparisoma_viride,68.124382,1,0.016110546
6,NNE,Acanthurus_bahianus,845.435901,6,0.107963358
6,NNE,Bodianus_pulchellus,226.641996,1.5,0.028942503
6,NNE,Canthidermis_sufflamen,113.398139,2,0.014481102
6,NNE,Centropyge_argi,19.906894,4,0.002542138
6,NNE,Chaetodon_sedentarius,60.038597,2,0.007667014
6,NNE,Chromis_bermudae,5.811053,2,0.00074208
6,NNE,Chromis_enchrysura,312.11446,27,0.039857457
6,NNE,Halochoeres_garnoti,113.30928,3,0.014469755
6,NNE,Holocanthus_tricolor,30.8634,1,0.0039413
6,NNE,Holocentrus_rufus,2729.450188,18.666667,0.348554642
6,NNE,Mycteroperca_bonaci,357.299622,1,0.045627666
6,NNE,Paranthius_furcifer,1005.274607,15.25,0.128374986
6,NNE,Pseudupeneus_maculatus,272.460248,6,0.034793558
6,NNE,Pterois_volitans,1186.38529,1.5,0.151503076
6,NNE,Scarus_taeniopterus,95.765625,2.25,0.012229405
6,NNE,Sphyraena_barracuda,456.611703,1,0.058309959
6,XL,Acanthurus_bahianus,185.129878,3,0.05458991
6,XL,Bodianus_pulchellus,128.432335,2.666667,0.037871302
6,XL,Bodianus_rufus,123.6122,1.5,0.036449972
6,XL,Centropyge_argi,9.953447,2,0.002935009
6,XL,Chaetodon_sedentarius,45.028948,1.5,0.013277847
6,XL,Chromis_bermudae,30.508028,10.5,0.008996011
6,XL,Chromis_enchrysura,1059.0481,26.25,0.312285304
6,XL,Haemulon_flavolineatum,134.607588,2,0.039692221
6,XL,Halichoeres_radiatus,117.435776,1,0.034628708
6,XL,Halochoeres_garnoti,24.614859,2,0.007258272
6,XL,Holocentrus_rufus,244.497314,2,0.072095798
6,XL,Seriola_rivoliana,1288.415351,2,0.379919646
