survey,site,species,percent_bio
1,HS1,Acanthurus_bahianus,0.068092136
1,HS1,Bodianus_pulchellus,0.01208929
1,HS1,Bodianus_rufus,0.012311772
1,HS1,Canthigaster_rostrata,0.00698321
1,HS1,Centropyge_argi,0.001220317
1,HS1,Cephalopholis_fulva,0.051020001
1,HS1,Chaetodon_sedentarius,0.007506362
1,HS1,Chromis_bermudae,0.007480719
1,HS1,Chromis_enchrysura,0.002998112
1,HS1,Halichoeres_radiatus,0.071989575
1,HS1,Holocanthus_tricolor,0.015135715
1,HS1,Holocentrus_rufus,0.018205123
1,HS1,Paranthius_furcifer,0.120491723
1,HS1,Pseudupeneus_maculatus,0.01948584
1,HS1,Pterois_volitans,0.484845849
1,HS1,Sparisoma_aurofrenatum,0.014380126
1,HS1,Sparisoma_viride,0.08576413
1,NNE,Bodianus_pulchellus,0.000800055
1,NNE,Canthidermis_sufflamen,0.040435711
1,NNE,Caranx_latus,0.091124708
1,NNE,Centropyge_argi,0.000211822
1,NNE,Chaetodon_ocellatus,0.001739375
1,NNE,Chaetodon_sedentarius,0.001104326
1,NNE,Chromis_bermudae,0.001854999
1,NNE,Chromis_enchrysura,0.315717595
1,NNE,Elegantis_bipinnulata,0.000960694
1,NNE,Halochoeres_garnoti,0.00018373
1,NNE,Holocanthus_tricolor,0.00087575
1,NNE,Holocentrus_rufus,0.02780831
1,NNE,Paranthius_furcifer,0.134571251
1,NNE,Pterois_volitans,0.20013825
1,NNE,Seriola_rivoliana,0.17509484
1,NNE,Sparisoma_viride,0.007378586
1,XL,Acanthurus_bahianus,0.003644778
1,XL,Bodianus_pulchellus,0.008788091
1,XL,Centropyge_argi,0.002253223
1,XL,Chaetodon_sedentarius,0.004027054
1,XL,Chromis_bermudae,0.018757827
1,XL,Chromis_enchrysura,0.007539197
1,XL,Holocanthus_tricolor,0.006595831
1,XL,Holocentrus_rufus,0.010269023
1,XL,Paranthius_furcifer,0.082197295
1,XL,Pterois_volitans,0.685423944
1,XL,Rypticus_saponaceus,0.009407323
1,XL,Seriola_rivoliana,0.150508617
1,XL,Sparisoma_viride,0.010587796
2,HS1,Aulostomus_maculatus,0.010883124
2,HS1,Bodianus_pulchellus,0.02372502
2,HS1,Bodianus_rufus,0.030476098
2,HS1,Centropyge_argi,0.001351773
2,HS1,Chaetodon_ocellatus,0.01665012
2,HS1,Chromis_bermudae,0.005918973
2,HS1,Chromis_enchrysura,0.007987111
2,HS1,Haemulon_flavolineatum,0.09140497
2,HS1,Halichoeres_radiatus,0.045208371
2,HS1,Holocanthus_tricolor,0.008383088
2,HS1,Holocentrus_rufus,0.029098237
2,HS1,Paranthius_furcifer,0.528825747
2,HS1,Pseudupeneus_maculatus,0.040771287
2,HS1,Sparisoma_viride,0.159316082
2,NNE,Bodianus_pulchellus,0.001946825
2,NNE,Canthidermis_sufflamen,0.001051146
2,NNE,Caranx_latus,0.285499499
2,NNE,Centropyge_argi,0.000392812
2,NNE,Cephalopholis_fulva,0.003103326
2,NNE,Chaetodon_sedentarius,0.003159227
2,NNE,Chromis_bermudae,0.007262208
2,NNE,Chromis_enchrysura,0.133018972
2,NNE,Elegantis_bipinnulata,0.004165736
2,NNE,Gymnothorax_funebris,0.001263963
2,NNE,Halochoeres_garnoti,0.001650251
2,NNE,Holocentrus_rufus,0.039518945
2,NNE,Paranthius_furcifer,0.039903939
2,NNE,Pterois_volitans,0.401960696
2,NNE,Seriola_rivoliana,0.067796323
2,NNE,Sparisoma_viride,0.008306133
2,XL,Bodianus_pulchellus,0.010134789
2,XL,Centropyge_argi,0.00346468
2,XL,Chaetodon_sedentarius,0.006268241
2,XL,Chromis_bermudae,0.087652957
2,XL,Chromis_enchrysura,0.07257416
2,XL,Halichoeres_radiatus,0.02043902
2,XL,Halochoeres_garnoti,0.01122209
2,XL,Holocanthus_tricolor,0.011409877
2,XL,Holocentrus_rufus,0.03181472
2,XL,Paranthius_furcifer,0.179483242
2,XL,Pterois_volitans,0.535455814
2,XL,Rypticus_saponaceus,0.022175973
2,XL,Sparisoma_viride,0.007904437
3,XL,Aulostomus_maculatus,0.003985901
3,XL,Bodianus_pulchellus,0.002069664
3,XL,Centropyge_argi,0.002079577
